cell_id,group,cycle,max_capacity_Ah,max_energy_Wh,voltage_max,voltage_min,voltage_mean,temp_mean,temp_max,duration_s,current_mean,current_std
001-7,G1,701,49.85545,157.413847,3.487328,2.5,3.1573029234196603,27.618991924255077,30.6,3589.7,-49.98343773127263,0.8343362191957702
001-7,G1,751,49.422496,155.650574,3.509166,2.5,3.1492580778089887,25.71497191011236,28.2,3558.5,-49.98339325646068,0.8379310279110255
001-7,G1,801,49.22436,154.867928,3.491326,2.5,3.1459852256063168,25.521940214325998,28.1,3544.2,-49.98333271206993,0.8395524153507178
001-7,G1,851,48.787464,154.100833,3.512088,2.5,3.1585298084803637,27.793682413204326,31.3,3512.8,-49.98316818326693,0.8434000346222302
001-8,G1,1,52.244776,160.889446,3.18667,2.500461,3.079405757374435,35.79120382673399,44.3,3761.6,-49.99737412330587,0.0028119524439892967
001-8,G1,51,50.332442,147.196234,3.511165,2.500461,2.9245040137931033,52.56540689655173,58.5,3624.0,-49.98356285213793,0.8302626352761829
001-8,G1,101,49.367934,152.791565,3.441191,2.5,3.0948488776715415,34.724803149606295,40.3,3554.6,-49.98323872047244,0.8385261082950953
001-8,G1,151,48.623871,150.288876,3.497785,2.5,3.0908165933752145,43.246145059965734,45.2,3501.0,-49.9830724608795,0.8448426132456144
001-8,G1,201,47.537802,146.563366,3.508397,2.5,3.083031959404206,43.425613317757005,45.9,3422.8,-49.98272298656542,0.8544736649199065
001-8,G1,251,46.118302,140.751147,3.444574,2.5,3.0519605423518463,33.103661185231154,40.2,3320.6,-49.981896898231454,0.8806831383640744
001-8,G1,301,45.06759,135.362479,3.49148,2.5,3.0035301848428833,48.686260012322855,52.2,3244.9,-49.98201169839803,0.8773959522442228
001-8,G1,351,43.696004,134.797867,3.488097,2.5,3.0847150482846253,47.73926302414232,48.8,3146.2,-49.981508954256675,0.8911811750101235
001-8,G1,401,40.616193,118.497999,3.500092,2.5,2.9174528957621324,50.80334928229665,56.6,2924.4,-49.98032616370473,0.9243329634941443
001-8,G1,451,36.399908,104.843781,3.432886,2.5,2.880342697559115,34.35816170861938,45.2,2620.9,-49.9782810846682,0.9763021949132944
001-8,G1,501,31.035277,96.195384,3.410279,2.5,3.099373766547406,28.32325581395349,34.9,2234.6,-49.97512569275493,1.0574163239493959
001-8,G1,551,24.74858,77.405172,3.465182,2.5,3.127559813236119,40.079024116657315,42.2,1781.9,-49.969266453729674,1.1840552451861868
001-8,G1,601,18.879735,57.599369,3.455493,2.5,3.0505480911094787,30.830124908155764,33.9,1359.4,-49.960749426891994,1.3552520474574719
001-8,G1,651,13.286186,38.80359,3.427657,2.5,2.9204774801670146,23.243736951983298,28.6,956.6,-49.94524606993737,1.6154657863623882
001-8,G1,701,9.920318,29.591387,3.496248,2.5,2.982440677374302,29.761731843575422,32.3,714.3,-49.92766165642459,1.8686344258184298
001-8,G1,751,4.86934,13.742936,3.478869,2.5,2.8243099801699714,25.626062322946176,28.2,350.6,-49.714047830028335,3.757929614956678
002-1,G2,1,54.673242,174.745695,3.452571,2.5,3.196118824320894,43.72640264026403,45.2,3936.6,-49.97206469814673,1.1265009343844208
